asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,is_amazon_choice,is_best_seller,sales_volume,discount,brand,product_url,date,week,unit_price,sub_category_name,rank
B00I08JAYG,"The Original Donut Shop Regular Keurig Single-Serve K-Cup Pods, Medium Roast Coffee, 72 Count",40.48,40.48,4.7,81464,True,False,20K+ bought in past month,,The Original Donut Shop,https://www.amazon.com/dp/B00I08JAYG,2025-09-15,38,$0.56,Single-Serve Coffee Capsules & Pods,6
B07P23H371,"Amazon Brand - Solimo Coffee Pods, Assorted pack (French, Dark, Colombian), Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",41.65,41.65,4.3,181689,True,False,7K+ bought in past month,,Amazon Brand - Solimo,https://www.amazon.com/dp/B07P23H371,2025-09-15,38,$0.42,Coffee,9
B07CGGN6RH,"Starbucks K-Cup Coffee Pods—Starbucks Blonde, Medium & Dark Roast Coffee—Variety Pack for Keurig Brewers—100% Arabica—1 box (40 pods total)",36.81,36.81,4.6,75657,True,False,4K+ bought in past month,,Starbucks,https://www.amazon.com/dp/B07CGGN6RH,2025-09-15,38,$0.92,Single-Serve Coffee Capsules & Pods,4
B07P1ZFBRS,"Amazon Brand - Happy Belly Medium Roast Coffee Pods, Donut Style, Compatible with Keurig 2.0 K-Cup Brewers, 100 Count",32.16,34.49,4.3,83092,True,False,10K+ bought in past month,6.76,Happy Belly,https://www.amazon.com/dp/B07P1ZFBRS,2025-09-15,38,$0.32,Single-Serve Coffee Capsules & Pods,3
B0792T8RYZ,"Victor Allen's Coffee Variety Pack (Morning Blend, 100% Colombian, Donut Shop Blend, and Italian Roast), 80 Count, Single Serve Coffee Pods for Keurig K-Cup Brewers",37.39,37.39,4.4,83082,True,False,4K+ bought in past month,,Victor Allen&#39;s Coffee,https://www.amazon.com/dp/B0792T8RYZ,2025-09-15,38,$0.47,Single-Serve Coffee Capsules & Pods,16
B08DBYJKVW,"McCafe Premium Roast Coffee, Keurig Single Serve K-Cup Pods, Medium Roast, 96 Count",39.96,43.38,4.7,59221,True,False,20K+ bought in past month,7.88,McCafe,https://www.amazon.com/dp/B08DBYJKVW,2025-09-15,38,$0.42,Single-Serve Coffee Capsules & Pods,11
B01N2KFHRS,"Peet's Coffee, Dark Roast Single Serve Coffee Pods - Major Dickason's Blend 75 Count (1 Box of 75 Pods)",35.99,42.98,4.7,57176,False,False,50K+ bought in past month,16.26,Peet&#39;s Coffee,https://www.amazon.com/dp/B01N2KFHRS,2025-09-15,38,$0.48,Single-Serve Coffee Capsules & Pods,7
B00I5FWWPI,"Green Mountain Coffee Roasters Dark Magic Keurig Single-Serve K-Cup Pods, Dark Roast Coffee, 72 Count",37.49,37.49,4.7,36856,True,False,10K+ bought in past month,,Green Mountain Coffee Roasters,https://www.amazon.com/dp/B00I5FWWPI,2025-09-15,38,$0.52,Single-Serve Coffee Capsules & Pods,23
B00I08JKI2,"Eight O'Clock Coffee The Original, Keurig Single Serve K-Cup Pods, Medium Roast, 72 Count (6 Packs of 12)",49.99,49.99,4.7,29128,True,False,7K+ bought in past month,,Eight O&#39;Clock Coffee,https://www.amazon.com/dp/B00I08JKI2,2025-09-15,38,$0.69,Single-Serve Coffee Capsules & Pods,34
B071Z8LD77,"Keurig Coffee Lovers' Collection Sampler Pack, Single-Serve K-Cup Pods, Compatible with all Keurig 1.0/Classic, 2.0 and K-Café Coffee Makers, Variety Pack, 40 Count",,,4.6,41365,False,False,,,Keurig,https://www.amazon.com/dp/B071Z8LD77,2025-09-15,38,N/A,Single-Serve Coffee Capsules & Pods,520
