Product,Entity,Operation,Campaign ID,Ad Group ID,Portfolio ID,Ad ID,Keyword ID,Product Targeting ID,Campaign Name,Ad Group Name,Campaign Name (Informational only),Ad Group Name (Informational only),Portfolio Name (Informational only),Start Date,End Date,Targeting Type,State,Campaign State (Informational only),Ad Group State (Informational only),Daily Budget,SKU,ASIN (Informational only),Eligibility Status (Informational only),Reason for Ineligibility (Informational only),Ad Group Default Bid,Ad Group Default Bid (Informational only),Bid,Keyword Text,Native Language Keyword,Native Language Locale,Match Type,Bidding Strategy,Placement,Percentage,Product Targeting Expression,Resolved Product Targeting Expression (Informational only),Impressions,Clicks,Click-through Rate,Spend,Sales,Orders,Units,Conversion Rate,ACOS,CPC,ROAS,status
Sponsored Products,Campaign,,361518347280480,,59791410378934,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,20250506,,Manual,enabled,enabled,,5.00,,,,,,,,,,,,Dynamic bids - down only,,,,,3118,7,0.22%,6.33,0.00,0,0,0.00%,0.00%,0.90,0.00,
Sponsored Products,Bidding Adjustment,,361518347280480,,,,,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,,enabled,,,,,,,,,,,,,,Dynamic bids - down only,Placement Rest Of Search,900.00,,,32,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Bidding Adjustment,,361518347280480,,,,,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,,enabled,,,,,,,,,,,,,,Dynamic bids - down only,Placement Top,0.00,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Bidding Adjustment,,361518347280480,,,,,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,,enabled,,,,,,,,,,,,,,Dynamic bids - down only,Placement Product Page,550.00,,,3086,7,0.23%,6.33,0.00,0,0,0.00%,0.00%,0.90,0.00,
Sponsored Products,Bidding Adjustment,,361518347280480,,,,,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,,enabled,,,,,,,,,,,,,,Dynamic bids - down only,Placement Amazon Business,0.00,,,137,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,459128751269134,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,Parametro1,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,419755703894650,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,Parametro2,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,443722215322097,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,foggers,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,516498069145147,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,ultrasonic,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
Sponsored Products,Campaign Negative Keyword,,361518347280480,,,,547257857771812,,,,RG_B0CFDD6BQW_SP_exact_cockroach gel bait_Ultimatum Roach,,Ultimatum Roach - Jungle Click,,,,enabled,enabled,,,,,,,,,,foggers,,,Negative Exact,,,,,,0,0,0.00%,0.00,0.00,0,0,0.00%,0.00%,0.00,0.00,
