placement_type,asin,spend,clicks,sales,orders
Amazon Onsite,B07F26GTFZ,0.0,0,0.0,0
Detail Page on-Amazon,B07F26GTFZ,254.07,138,115.24000000000001,3
Detail Page on-Amazon,B0BV3CZW4S,143.65,91,158.94,3
Detail Page on-Amazon,B0BYPHZGTK,53.8,49,0.0,0
Homepage on-Amazon,B0BYPHZGTK,0.0,0,0.0,0
Off Amazon,B07F26GTFZ,0.24,1,0.0,0
Off Amazon,B0BV3CZW4S,0.0,0,0.0,0
Off Amazon,B0BYPHZGTK,0.0,0,0.0,0
Offsite,B07F26GTFZ,0.1,1,0.0,0
Other on-Amazon,B07F26GTFZ,969.79,481,1076.2300000000005,35
Other on-Amazon,B07F27L56R,0.0,0,0.0,0
Other on-Amazon,B0BV3CZW4S,451.98,247,603.1899999999999,10
Other on-Amazon,B0BYPHZGTK,320.25,315,305.26000000000005,10
Top of Search on-Amazon,B07F26GTFZ,1585.68,811,2411.0800000000004,80
Top of Search on-Amazon,B07F27L56R,1.13,1,0.0,0
"","",0.0,0,6.99,1
Top of Search on-Amazon,B0BV3CZW4S,576.17,240,1504.4,26
"","",727.64,439,49.95,1
