Start Date,End Date,Portfolio name,Currency,Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Cost type,Impressions,Viewable Impressions,Clicks,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),"Cost per 1,000 viewable impressions (VCPM)",Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),14 Day Total Sales ,14 Day Total Orders (#),14 Day Total Units (#),14 Day Conversion Rate,Total Advertising Cost of Sales (ACOS) - (Click),Total Return on Advertising Spend (ROAS) - (Click),14 Day Total Sales - (Click),14 Day Total Orders (#) - (Click),14 Day Total Units (#) - (Click)
"Sep 22, 2025","Sep 22, 2025",No Portfolio,USD,SB - Exact - Skin (Root) SEO,SB - Exact - Skin (Root) SEO,organic beef tallow for skin,EXACT,organic beef tallow for face,CPC,3,1,1,33.3333%,$1.62,$1.62,"$1,620.00",,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Oct 09, 2025","Oct 09, 2025",No Portfolio,USD,SB - Exact - Skin (Root) SEO,SB - Exact - Skin (Root) SEO,organic beef tallow for skin,EXACT,organic beef tallow for your face,CPC,2,0,1,50.0000%,$1.93,$1.93,,,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Sep 16, 2025","Oct 12, 2025",No Portfolio,USD,SB - Exact - Skin (Root) SEO,SB - Exact - Skin (Root) SEO,organic tallow grass fed for skin,EXACT,beef tallow for skin organic grass fed,CPC,5,1,2,40.0000%,$3.73,$1.87,"$3,730.00",,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Sep 24, 2025","Sep 24, 2025",No Portfolio,USD,SB - Exact - Skin (Root) SEO,SB - Exact - Skin (Root) SEO,organic tallow grass fed for skin,EXACT,face for organic tallow grass fed for skin,CPC,4,2,1,25.0000%,$1.68,$1.68,$840.00,,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Sep 22, 2025","Sep 22, 2025",No Portfolio,USD,SB - Exact - Skin (Root) SEO,SB - Exact - Skin (Root) SEO,organic tallow grass fed for skin,EXACT,grass fed organic beef tallow for skin,CPC,2,2,1,50.0000%,$1.71,$1.71,$855.00,,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Oct 11, 2025","Oct 11, 2025",No Portfolio,USD,SB - Exact - Skin (Root) SEO,SB - Exact - Skin (Root) SEO,organic tallow grass fed for skin,EXACT,grass fed organic skin beef tallow,CPC,2,2,1,50.0000%,$2.17,$2.17,"$1,085.00",,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Sep 17, 2025","Sep 17, 2025",No Portfolio,USD,SB - Exact - Skin (Root) SEO,SB - Exact - Skin (Root) SEO,organic tallow grass fed for skin,EXACT,organic grass fed beef tallow for face skin,CPC,2,1,1,50.0000%,$2.07,$2.07,"$2,070.00",,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Sep 30, 2025","Oct 13, 2025",No Portfolio,USD,SB - Exact - Skin (Root) SEO,SB - Exact - Skin (Root) SEO,organic tallow grass fed for skin,EXACT,organic grass fed beef tallow for skin,CPC,62,19,5,8.0645%,$9.82,$1.96,$516.84,,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Oct 10, 2025","Oct 10, 2025",No Portfolio,USD,SB - Exact - Skin (Root) SEO,SB - Exact - Skin (Root) SEO,organic tallow grass fed for skin,EXACT,organic grass fed grass finished tallow for skin,CPC,1,1,1,100.0000%,$1.90,$1.90,"$1,900.00",6.7881%,14.73,$27.99,1,1,100.0000%,6.7881%,14.73,$27.99,1,1
"Sep 19, 2025","Oct 04, 2025",No Portfolio,USD,SB - Exact - Skin (Root) SEO,SB - Exact - Skin (Root) SEO,organic tallow grass fed for skin,EXACT,organic grass feed beef tallow for skin,CPC,4,2,2,50.0000%,$3.22,$1.61,"$1,610.00",,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Oct 12, 2025","Oct 12, 2025",No Portfolio,USD,SB - Exact - Skin (Root) SEO,SB - Exact - Skin (Root) SEO,organic tallow grass fed for skin,EXACT,organic grassfed tallow for skin,CPC,3,1,1,33.3333%,$2.00,$2.00,"$2,000.00",,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Sep 22, 2025","Oct 07, 2025",No Portfolio,USD,SB - Exact - Skin (Root) SEO,SB - Exact - Skin (Root) SEO,organic tallow grass fed for skin,EXACT,organic tallow grass fed for skin,CPC,45,19,7,15.5556%,$12.70,$1.81,$668.42,45.3733%,2.20,$27.99,1,1,14.2857%,45.3733%,2.20,$27.99,1,1
"Oct 09, 2025","Oct 09, 2025",No Portfolio,USD,SB - Exact - Skin (Root) SEO,SB - Exact - Skin (Root) SEO,organic tallow grass fed for skin,EXACT,pure grass fed tallow for skin,CPC,2,1,1,50.0000%,$1.02,$1.02,"$1,020.00",,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Sep 23, 2025","Sep 23, 2025",No Portfolio,USD,SB - Exact - Skin (Root) SEO,SB - Exact - Skin (Root) SEO,organic tallow grass fed for skin,EXACT,usa grass fed tallow for skin,CPC,2,2,1,50.0000%,$2.00,$2.00,"$1,000.00",,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Sep 20, 2025","Sep 20, 2025",No Portfolio,USD,4oz_B0DXNHMWKQ_SBA_exact_lotion_tallow_,4oz_B0DXNHMWKQ_SBA_exact_lotion_tallow_,tallow body lotion,EXACT,tallow lotion,CPC,6,2,1,16.6667%,$2.07,$2.07,"$1,035.00",,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Sep 20, 2025","Oct 12, 2025",No Portfolio,USD,4oz_B0DXNHMWKQ_SBA_exact_lotion_tallow_,4oz_B0DXNHMWKQ_SBA_exact_lotion_tallow_,tallow body lotion,EXACT,tallow lotion for body,CPC,7,3,2,28.5714%,$4.27,$2.14,"$1,423.33",,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Sep 21, 2025","Oct 09, 2025",No Portfolio,USD,4oz_B0DXNHMWKQ_SBA_exact_lotion_tallow_,4oz_B0DXNHMWKQ_SBA_exact_lotion_tallow_,beef tallow body lotion,EXACT,beef tallow body lotion,CPC,14,2,2,14.2857%,$4.06,$2.03,"$2,030.00",,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Sep 16, 2025","Sep 16, 2025",No Portfolio,USD,4oz_B0DXNHMWKQ_SBA_exact_lotion_tallow_,4oz_B0DXNHMWKQ_SBA_exact_lotion_tallow_,beef tallow body lotion,EXACT,beef tallow for lotion,CPC,1,1,1,100.0000%,$2.23,$2.23,"$2,230.00",,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Oct 09, 2025","Oct 09, 2025",No Portfolio,USD,4oz_B0DXNHMWKQ_SBA_exact_lotion_tallow_,4oz_B0DXNHMWKQ_SBA_exact_lotion_tallow_,beef tallow body lotion,EXACT,body moisturizer beef tallow,CPC,2,1,1,50.0000%,$2.18,$2.18,"$2,180.00",,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Oct 14, 2025","Oct 14, 2025",No Portfolio,USD,4oz_B0DXNHMWKQ_SBA_phrase_beef_tallow_organic_,4oz_B0DXNHMWKQ_SBA_phrase_beef_tallow_organic_,organic beef tallow skin,PHRASE,organic beef tallow for the skin￼,CPC,8,3,2,25.0000%,$3.85,$1.93,"$1,283.33",,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Sep 16, 2025","Sep 24, 2025",No Portfolio,USD,4oz_B0DXNHMWKQ_SBA_phrase_beef_tallow_organic_,4oz_B0DXNHMWKQ_SBA_phrase_beef_tallow_organic_,organic beef tallow skin,PHRASE,organic beef tallow skin,CPC,1329,60,7,0.5267%,$10.06,$1.44,$167.67,,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Sep 17, 2025","Sep 17, 2025",No Portfolio,USD,4oz_B0DXNHMWKQ_SBA_phrase_beef_tallow_organic_,4oz_B0DXNHMWKQ_SBA_phrase_beef_tallow_organic_,organic beef tallow skin,PHRASE,usda organic beef tallow for skin,CPC,1,0,1,100.0000%,$1.49,$1.49,,,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Sep 23, 2025","Sep 23, 2025",No Portfolio,USD,4oz_B0DXNHMWKQ_SBA_phrase_whipped_beef_tallow_,4oz_B0DXNHMWKQ_SBA_phrase_whipped_beef_tallow_,whipped beef tallow skin,PHRASE,beef tallow for skin,CPC,5,2,1,20.0000%,$1.47,$1.47,$735.00,,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Oct 06, 2025","Oct 06, 2025",No Portfolio,USD,4oz_B0DXNHMWKQ_SBA_phrase_whipped_beef_tallow_,4oz_B0DXNHMWKQ_SBA_phrase_whipped_beef_tallow_,whipped beef tallow skin,PHRASE,jupiter whipped beef tallow for skin in green,CPC,1,0,1,100.0000%,$1.47,$1.47,,,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Oct 06, 2025","Oct 06, 2025",No Portfolio,USD,4oz_B0DXNHMWKQ_SBA_phrase_whipped_beef_tallow_,4oz_B0DXNHMWKQ_SBA_phrase_whipped_beef_tallow_,whipped beef tallow skin,PHRASE,júpiter whipped beef tallow for skin in green,CPC,5,1,1,20.0000%,$1.15,$1.15,"$1,150.00",,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
"Oct 06, 2025","Oct 06, 2025",No Portfolio,USD,4oz_B0DXNHMWKQ_SBA_phrase_whipped_beef_tallow_,4oz_B0DXNHMWKQ_SBA_phrase_whipped_beef_tallow_,whipped beef tallow skin,PHRASE,whipped beef tallow balm for skin,CPC,9,5,1,11.1111%,$1.47,$1.47,$294.00,,0.00,$0.00,0,0,0.0000%,,0.00,$0.00,0,0
