asin,brand,week_end,week_number,units_sold,sales_amount,avg_price
B0CCXVJTHH,BACTERIOSTATIC,2025-11-06,45,374,11879.039999999999,31.771428571428572
B0CCXVJTHH,BACTERIOSTATIC,2025-11-13,46,346,11030.48,31.88
B0CCXVJTHH,BACTERIOSTATIC,2025-11-20,47,326,10032.88,30.737142857142857
B0CCXVJTHH,BACTERIOSTATIC,2025-11-27,48,424,10125.119999999999,23.88
B0BC2GGYYS,Biopharm,2025-11-06,45,1981,51446.57,25.97
B0BC2GGYYS,Biopharm,2025-11-13,46,2006,52095.82,25.97
B0BC2GGYYS,Biopharm,2025-11-20,47,2294,62180.38,27.084285714285716
B0BC2GGYYS,Biopharm,2025-11-27,48,2276,67984.12,29.87
B0BXTCGP6B,Earth Harmony Naturals,2025-11-06,45,1512,52844.40000000001,34.95
B0BXTCGP6B,Earth Harmony Naturals,2025-11-13,46,1391,48615.450000000004,34.95
B0BXTCGP6B,Earth Harmony Naturals,2025-11-20,47,1470,51376.5,34.95
B0BXTCGP6B,Earth Harmony Naturals,2025-11-27,48,1596,55780.200000000004,34.95
B0DJZB5VP7,Heiltropfen,2025-11-06,45,510,9893.0,19.414285714285715
B0DJZB5VP7,Heiltropfen,2025-11-13,46,408,8037.6,19.7
B0DJZB5VP7,Heiltropfen,2025-11-20,47,362,6804.4,18.842857142857145
B0DJZB5VP7,Heiltropfen,2025-11-27,48,377,6295.9,16.7
B0FSKW3TDD,Liophy,2025-11-06,45,684,25301.160000000003,36.99
B0FSKW3TDD,Liophy,2025-11-13,46,600,22194.0,36.99
B0FSKW3TDD,Liophy,2025-11-20,47,938,34696.62,36.99
B0FSKW3TDD,Liophy,2025-11-27,48,905,35059.950000000004,38.70428571428572
B0CX2V6H3F,Sweat & Soul,2025-11-06,45,781,21154.149999999998,26.949999999999996
B0CX2V6H3F,Sweat & Soul,2025-11-13,46,797,20044.55,25.15
B0CX2V6H3F,Sweat & Soul,2025-11-20,47,902,22685.3,25.15
B0CX2V6H3F,Sweat & Soul,2025-11-27,48,1202,30230.3,25.15
