asin,brand,week_end,week_number,units_sold,sales_amount,avg_price
B0DN3W7JXJ,Amallow Store,2026-01-01,1,3074,122929.26000000001,39.99
B0DN3W7JXJ,Amallow Store,2026-01-08,2,3306,126354.94,37.99
B0DN3W7JXJ,Amallow Store,2026-01-15,3,3339,133526.61000000002,39.99
B0DN3W7JXJ,Amallow Store,2026-01-22,4,3916,156600.84,39.99
B0BJMSH4JX,Hearth and Homestead Store,2026-01-01,1,7577,227234.22999999998,29.99
B0BJMSH4JX,Hearth and Homestead Store,2026-01-08,2,9808,283116.76,28.835714285714285
B0BJMSH4JX,Hearth and Homestead Store,2026-01-15,3,10246,307277.54,29.99
B0BJMSH4JX,Hearth and Homestead Store,2026-01-22,4,10804,324011.95999999996,29.99
B0D79R159R,HolyCow Store,2026-01-01,1,841,25221.59,29.99
B0D79R159R,HolyCow Store,2026-01-08,2,901,26192.870000000003,29.12857142857143
B0D79R159R,HolyCow Store,2026-01-15,3,1177,32932.46,27.98
B0D79R159R,HolyCow Store,2026-01-22,4,1288,36808.07,28.554285714285715
B0DGVP5LDS,Meadow Bliss,2026-01-01,1,600,7182.0,11.97
B0DGVP5LDS,Meadow Bliss,2026-01-08,2,647,7744.59,11.97
B0DGVP5LDS,Meadow Bliss,2026-01-15,3,753,7507.410000000001,9.97
B0DGVP5LDS,Meadow Bliss,2026-01-22,4,772,7696.84,9.97
B0DT44BCPM,TKTALKER,2026-01-01,1,2470,44202.99999999999,17.587142857142858
B0DT44BCPM,TKTALKER,2026-01-08,2,2228,44292.64,19.88
B0DT44BCPM,TKTALKER,2026-01-15,3,1965,39064.2,19.88
B0DT44BCPM,TKTALKER,2026-01-22,4,1921,33609.88,17.587142857142858
B0D791FDTR,mkzea Store,2026-01-01,1,522,9161.1,17.55
B0D791FDTR,mkzea Store,2026-01-08,2,632,11091.6,17.55
B0D791FDTR,mkzea Store,2026-01-15,3,627,11003.85,17.55
B0D791FDTR,mkzea Store,2026-01-22,4,635,11144.25,17.55
