asin,brand,week_end,week_number,units_sold,sales_amount,avg_price
B0B87YDK8G,Biggerfire,2025-10-16,42,5,349.95,69.99
B0B87YDK8G,Biggerfire,2025-10-23,43,1,68.99,69.56142857142856
B0B87YDK8G,Biggerfire,2025-10-30,44,6,416.93999999999994,69.56142857142856
B0B87YDK8G,Biggerfire,2025-11-06,45,3,209.96999999999997,69.99
B0CWVYBYBQ,EcoZoom,2025-10-16,42,30,4798.5,159.95
B0CWVYBYBQ,EcoZoom,2025-10-23,43,24,3838.7999999999997,159.95
B0CWVYBYBQ,EcoZoom,2025-10-30,44,18,2879.0999999999995,159.95
B0CWVYBYBQ,EcoZoom,2025-11-06,45,29,4238.45,148.51857142857142
B0BBSQBXL4,GasOne,2025-10-16,42,113,7646.37,68.49
B0BBSQBXL4,GasOne,2025-10-23,43,69,4829.3099999999995,69.99
B0BBSQBXL4,GasOne,2025-10-30,44,47,3289.5299999999997,69.99
B0BBSQBXL4,GasOne,2025-11-06,45,46,3219.5399999999995,69.99
B09F62BNM2,Lineslife,2025-10-16,42,12,879.9599999999999,72.95
B09F62BNM2,Lineslife,2025-10-23,43,15,1055.01,70.42999999999999
B09F62BNM2,Lineslife,2025-10-30,44,21,1448.79,68.99
B09F62BNM2,Lineslife,2025-11-06,45,22,1517.7799999999997,68.99
B09SW522G4,Onlyfire,2025-10-16,42,8,1010.72,126.34
B09SW522G4,Onlyfire,2025-10-23,43,7,884.38,126.34
B09SW522G4,Onlyfire,2025-10-30,44,4,505.36,130.24
B09SW522G4,Onlyfire,2025-11-06,45,4,505.36,130.24
B085Y6PHLM,StarBlue,2025-10-16,42,17,1020.0,60.0
B085Y6PHLM,StarBlue,2025-10-23,43,20,1200.0,60.0
B085Y6PHLM,StarBlue,2025-10-30,44,27,1620.0,60.0
B085Y6PHLM,StarBlue,2025-11-06,45,35,2100.0,60.0
