asin,brand,week_end,week_number,units_sold,sales_amount,avg_price
B00I5FWWPI,Green Mountain Coffee Roasters,2025-10-09,41,9403,397325.78,41.87428571428571
B00I5FWWPI,Green Mountain Coffee Roasters,2025-10-16,42,8068,323141.99,39.94571428571429
B00I5FWWPI,Green Mountain Coffee Roasters,2025-10-23,43,7559,309620.33,40.93285714285714
B00I5FWWPI,Green Mountain Coffee Roasters,2025-10-30,44,8001,329592.9,41.215714285714284
B07P1ZFBRS,Happy Belly,2025-10-09,41,21582,751269.42,34.81
B07P1ZFBRS,Happy Belly,2025-10-16,42,22578,710424.9,31.457142857142856
B07P1ZFBRS,Happy Belly,2025-10-23,43,19957,616671.2999999999,30.9
B07P1ZFBRS,Happy Belly,2025-10-30,44,22411,692499.9,30.9
B00NLVFO2O,MAXWELL HOUSE,2025-10-09,41,9719,365242.06,37.56857142857143
B00NLVFO2O,MAXWELL HOUSE,2025-10-16,42,7243,265555.54,36.58
B00NLVFO2O,MAXWELL HOUSE,2025-10-23,43,7410,248827.8,33.58
B00NLVFO2O,MAXWELL HOUSE,2025-10-30,44,8353,280493.74,33.58
B08DBYJKVW,McCafe,2025-10-09,41,13232,607878.08,45.94
B08DBYJKVW,McCafe,2025-10-16,42,11972,548455.63,45.80428571428571
B08DBYJKVW,McCafe,2025-10-23,43,11136,505658.89,45.39714285714285
B08DBYJKVW,McCafe,2025-10-30,44,11670,529657.9,45.39714285714285
B01N2KFHRS,Peets Coffee,2025-10-09,41,17739,730965.2,41.355714285714285
B01N2KFHRS,Peets Coffee,2025-10-16,42,17221,619611.58,35.98
B01N2KFHRS,Peets Coffee,2025-10-23,43,15614,561791.72,35.98
B01N2KFHRS,Peets Coffee,2025-10-30,44,16894,607846.1199999999,35.98
B009GDBNF8,Starbucks,2025-10-09,41,20033,1192279.65,59.708571428571425
B009GDBNF8,Starbucks,2025-10-16,42,20733,1175146.44,56.68
B009GDBNF8,Starbucks,2025-10-23,43,21393,1222241.0,57.15
B009GDBNF8,Starbucks,2025-10-30,44,19834,1108878.46,56.16142857142857
B00I08JAYG,The Original Donut Shop,2025-10-09,41,17182,688209.8200000001,40.24857142857143
B00I08JAYG,The Original Donut Shop,2025-10-16,42,15827,569613.73,35.99
B00I08JAYG,The Original Donut Shop,2025-10-23,43,15362,592337.6900000001,38.54571428571428
B00I08JAYG,The Original Donut Shop,2025-10-30,44,16199,679619.63,41.95428571428572
